"wait_time","standby_time","calling_time","attendant_machine_id","service_room_id","pause_time","relocate","disconnected_by_attendant","ticket_priority","number_of_breaks","ticket_category","attendant_id","call_surplus","attendant_level","duration_categories","short_call","call_period","customer_time_talks","pause_time_category","region","out_average","resolved_tickets"
2,0,0,125,6,0,1,1,4,1,9,4651225,2,9,"de 1 a 5 min",0,"noite","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,9,4608089,2,9,"até 1 min",1,"manhã","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,9,4652723,2,9,"até 1 min",1,"manhã","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,1,1,4,1,1,4650776,2,1,"de 1 a 5 min",0,"manhã","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,1,1,4,1,1,4690542,2,1,"de 5 a 10 min",0,"tarde","de 5 a 10 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4690562,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4690542,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,9,4576996,2,9,"até 1 min",1,"manhã","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,1,1,4,1,1,4650776,2,1,"de 1 a 5 min",0,"manhã","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4690566,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,1,1,4,1,1,4690555,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4690568,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4650776,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4690568,2,1,"de 5 a 10 min",0,"manhã","de 5 a 10 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4664342,2,1,"de 1 a 5 min",0,"noite","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4690563,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,9,4576996,2,9,"até 1 min",1,"manhã","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,1,1,4,1,1,4650776,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
3,0,1,125,6,0,1,1,4,1,1,4653909,2,1,"de 5 a 10 min",0,"tarde","de 5 a 10 min","rapida","Sudeste",0,"True"
3,0,0,125,6,0,0,0,4,0,1,4664342,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,1,1,4,1,1,4690568,2,1,"de 1 a 5 min",0,"tarde","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4690553,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4678976,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4663488,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,1,1,4,1,1,4613645,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
3,0,1,125,6,0,1,1,4,1,1,4650776,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4650776,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,1,1,4,1,1,4559989,2,1,"de 1 a 5 min",0,"noite","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4690939,2,1,"de 1 a 5 min",0,"noite","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4517519,2,1,"até 1 min",1,"noite","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4690939,2,1,"de 5 a 10 min",0,"noite","de 5 a 10 min","rapida","Sudeste",1,"True"
2,0,0,125,6,0,0,0,4,0,1,4650776,2,1,"até 1 min",1,"manhã","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,1,1,4,1,1,4650776,2,1,"de 1 a 5 min",0,"manhã","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4664342,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4664342,2,1,"até 1 min",1,"noite","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4690939,2,1,"até 1 min",1,"noite","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4690564,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,1,1,4,1,1,4690568,2,1,"de 5 a 10 min",0,"manhã","de 5 a 10 min","média","Sudeste",0,"True"
2,0,0,125,6,0,1,1,4,1,1,4690541,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4690560,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,1,1,4,1,1,4662034,2,1,"de 1 a 5 min",0,"noite","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,1,1,4,1,1,4690568,2,1,"de 1 a 5 min",0,"tarde","até 1 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4690568,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,1,1,4,1,9,4662045,2,9,"de 5 a 10 min",0,"noite","de 5 a 10 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,9,4639897,2,9,"de 1 a 5 min",0,"noite","de 1 a 5 min","rapida","Sudeste",0,"True"
3,0,0,125,6,0,1,1,4,1,1,4587698,2,1,"de 5 a 10 min",0,"tarde","de 5 a 10 min","rapida","Sudeste",0,"True"
